iter	Passed	Remaining
429	5026	6663
430	5037	6650
431	5048	6638
432	5059	6625
433	5071	6614
434	5085	6604
435	5097	6593
436	5108	6581
437	5120	6570
438	5131	6557
439	5142	6544
440	5153	6532
441	5164	6520
442	5175	6506
443	5186	6494
444	5197	6481
445	5209	6470
446	5219	6457
447	5230	6444
448	5242	6433
449	5255	6423
450	5267	6411
451	5277	6398
452	5289	6386
453	5302	6376
454	5315	6366
455	5328	6356
456	5338	6343
457	5348	6329
458	5359	6317
459	5371	6305
460	5383	6294
461	5394	6281
462	5406	6271
463	5417	6257
464	5427	6244
465	5439	6232
466	5450	6221
467	5462	6209
468	5473	6196
469	5486	6187
470	5500	6177
471	5510	6163
472	5521	6151
473	5532	6139
474	5543	6127
475	5556	6117
476	5569	6106
477	5579	6092
478	5590	6080
479	5601	6068
480	5613	6057
481	5626	6046
482	5637	6034
483	5647	6021
484	5657	6007
485	5668	5995
486	5681	5984
487	5694	5974
488	5702	5959
489	5714	5947
490	5725	5935
491	5736	5923
492	5748	5911
493	5759	5899
494	5773	5890
495	5783	5876
496	5794	5864
497	5804	5851
498	5818	5842
499	5829	5829
500	5839	5815
501	5849	5803
502	5862	5792
503	5872	5779
504	5883	5766
505	5895	5755
506	5906	5743
507	5918	5731
508	5928	5718
509	5939	5706
510	5950	5694
511	5961	5682
512	5973	5671
513	5986	5660
514	5997	5647
515	6008	5635
516	6019	5623
517	6030	5611
518	6041	5598
519	6052	5586
520	6065	5576
521	6075	5563
522	6086	5550
523	6097	5538
524	6108	5526
525	6119	5514
526	6131	5502
527	6143	5491
528	6153	5478
529	6165	5467
530	6175	5454
531	6187	5442
532	6198	5431
533	6209	5419
534	6221	5407
535	6231	5394
536	6243	5383
537	6255	5372
538	6268	5361
539	6278	5348
540	6290	5336
541	6301	5324
542	6312	5312
543	6322	5299
544	6333	5287
545	6343	5274
546	6353	5261
547	6365	5250
548	6377	5239
549	6388	5226
550	6399	5215
551	6413	5205
552	6422	5191
553	6434	5180
554	6444	5167
555	6456	5155
556	6468	5144
557	6477	5131
558	6489	5119
559	6502	5109
560	6511	5095
561	6523	5084
562	6537	5074
563	6549	5063
564	6561	5051
565	6571	5038
566	6582	5027
567	6593	5015
568	6606	5003
569	6617	4991
570	6628	4979
571	6638	4967
572	6649	4955
573	6662	4944
574	6675	4934
575	6686	4921
576	6697	4909
577	6708	4898
578	6719	4885
579	6732	4874
580	6742	4862
581	6754	4851
582	6765	4839
583	6780	4829
584	6790	4817
585	6801	4804
586	6813	4794
587	6825	4782
588	6837	4771
589	6847	4758
590	6859	4747
591	6870	4735
592	6882	4723
593	6890	4709
594	6904	4699
595	6916	4688
596	6926	4675
597	6937	4663
598	6951	4653
599	6962	4641
600	6972	4629
601	6984	4617
602	6995	4605
603	7007	4594
604	7018	4582
605	7030	4570
606	7039	4557
607	7051	4546
608	7061	4533
609	7072	4521
610	7084	4510
611	7095	4498
612	7106	4486
613	7118	4475
614	7129	4463
615	7140	4451
616	7152	4440
617	7164	4428
618	7177	4417
619	7188	4405
620	7198	4393
621	7210	4381
622	7220	4369
623	7231	4357
624	7243	4346
625	7254	4334
626	7266	4322
627	7278	4311
628	7288	4299
629	7299	4287
630	7312	4276
631	7323	4264
632	7333	4251
633	7345	4240
634	7356	4228
635	7369	4217
636	7381	4206
637	7394	4195
638	7405	4183
639	7416	4171
640	7428	4160
641	7440	4148
642	7452	4137
643	7463	4125
644	7475	4114
645	7486	4102
646	7497	4090
647	7509	4079
648	7520	4067
649	7530	4055
650	7543	4043
651	7554	4031
652	7566	4020
653	7578	4009
654	7589	3997
655	7600	3985
656	7611	3973
657	7623	3962
658	7634	3950
659	7646	3939
660	7657	3927
661	7669	3915
662	7680	3903
663	7691	3892
664	7702	3880
665	7713	3868
666	7725	3857
667	7735	3844
668	7747	3833
669	7758	3821
670	7772	3810
671	7782	3798
672	7793	3786
673	7806	3775
674	7815	3762
675	7827	3751
676	7839	3740
677	7848	3727
678	7860	3716
679	7871	3704
680	7881	3692
681	7894	3680
682	7906	3669
683	7917	3657
684	7928	3646
685	7940	3634
686	7951	3622
687	7962	3611
688	7975	3600
689	7988	3588
690	7998	3576
691	8010	3565
692	8022	3553
693	8034	3542
694	8044	3530
695	8057	3519
696	8068	3507
697	8082	3497
698	8094	3485
699	8105	3473
700	8115	3461
701	8125	3449
702	8137	3437
703	8148	3426
704	8160	3414
705	8172	3403
706	8184	3391
707	8195	3379
708	8206	3368
709	8218	3356
710	8228	3344
711	8239	3332
712	8249	3320
713	8260	3308
714	8271	3297
715	8283	3285
716	8294	3273
717	8305	3262
718	8317	3250
719	8329	3239
720	8340	3227
721	8352	3216
722	8363	3204
723	8375	3192
724	8386	3181
725	8399	3170
726	8410	3158
727	8420	3146
728	8431	3134
729	8442	3122
730	8455	3111
731	8466	3099
732	8479	3088
733	8490	3076
734	8500	3064
735	8512	3053
736	8523	3041
737	8534	3029
738	8544	3017
739	8556	3006
740	8568	2994
741	8578	2982
742	8590	2971
743	8602	2959
744	8612	2947
745	8624	2936
746	8635	2924
747	8646	2912
748	8656	2901
749	8668	2889
750	8679	2877
751	8691	2866
752	8700	2854
753	8712	2842
754	8723	2830
755	8734	2819
756	8745	2807
757	8756	2795
758	8767	2783
759	8778	2772
760	8792	2761
761	8804	2750
762	8816	2738
763	8828	2727
764	8840	2715
765	8852	2704
766	8863	2692
767	8875	2681
768	8888	2669
769	8899	2658
770	8908	2645
771	8919	2634
772	8931	2622
773	8942	2611
774	8954	2599
775	8966	2588
776	8978	2576
777	8988	2564
778	8999	2553
779	9011	2541
780	9022	2530
781	9034	2518
782	9045	2506
783	9056	2495
784	9067	2483
785	9079	2471
786	9093	2461
787	9105	2449
788	9118	2438
789	9130	2427
790	9141	2415
791	9153	2403
792	9163	2391
793	9176	2380
794	9187	2369
795	9198	2357
796	9210	2345
797	9221	2334
798	9234	2323
799	9244	2311
800	9255	2299
801	9267	2287
802	9280	2276
803	9291	2265
804	9301	2253
805	9314	2242
806	9326	2230
807	9338	2219
808	9352	2208
809	9363	2196
810	9374	2184
811	9384	2172
812	9396	2161
813	9408	2149
814	9419	2138
815	9430	2126
816	9441	2114
817	9453	2103
818	9466	2092
819	9477	2080
820	9489	2069
821	9500	2057
822	9512	2045
823	9523	2034
824	9536	2022
825	9548	2011
826	9559	1999
827	9570	1987
828	9581	1976
829	9592	1964
830	9603	1953
831	9615	1941
832	9627	1930
833	9639	1918
834	9651	1907
835	9662	1895
836	9674	1883
837	9687	1872
838	9697	1860
839	9707	1848
840	9718	1837
841	9729	1825
842	9741	1814
843	9753	1802
844	9766	1791
845	9776	1779
846	9787	1767
847	9799	1756
848	9810	1744
849	9819	1732
850	9831	1721
851	9842	1709
852	9854	1698
853	9865	1686
854	9878	1675
855	9888	1663
856	9899	1651
857	9912	1640
858	9922	1628
859	9934	1617
860	9944	1605
861	9955	1593
862	9966	1582
863	9978	1570
864	9991	1559
865	10004	1548
866	10018	1536
867	10028	1525
868	10038	1513
869	10049	1501
870	10061	1490
871	10074	1478
872	10084	1467
873	10094	1455
874	10106	1443
875	10117	1432
876	10130	1420
877	10141	1409
878	10152	1397
879	10162	1385
880	10175	1374
881	10186	1362
882	10199	1351
883	10210	1339
884	10222	1328
885	10234	1316
886	10245	1305
887	10257	1293
888	10267	1282
889	10282	1270
890	10294	1259
891	10303	1247
892	10314	1235
893	10326	1224
894	10336	1212
895	10349	1201
896	10360	1189
897	10372	1178
898	10384	1166
899	10395	1155
900	10407	1143
901	10417	1131
902	10430	1120
903	10444	1109
904	10454	1097
905	10465	1085
906	10475	1074
907	10487	1062
908	10499	1051
909	10511	1039
910	10523	1028
911	10534	1016
912	10546	1004
913	10558	993
914	10570	981
915	10584	970
916	10594	958
917	10604	947
918	10617	935
919	10627	924
920	10640	912
921	10652	901
922	10662	889
923	10673	877
924	10685	866
925	10697	854
926	10708	843
927	10718	831
928	10730	820
929	10743	808
930	10755	797
931	10766	785
932	10776	773
933	10787	762
934	10797	750
935	10809	739
936	10820	727
937	10832	716
938	10845	704
939	10856	692
940	10868	681
941	10881	669
942	10893	658
943	10904	646
944	10916	635
945	10927	623
946	10941	612
947	10950	600
948	10963	589
949	10974	577
950	10986	566
951	10998	554
952	11009	542
953	11021	531
954	11032	519
955	11045	508
956	11056	496
957	11067	485
958	11078	473
959	11089	462
960	11101	450
961	11113	439
962	11125	427
963	11137	415
964	11148	404
965	11159	392
966	11172	381
967	11182	369
968	11194	358
969	11205	346
970	11216	334
971	11227	323
972	11236	311
973	11247	300
974	11261	288
975	11274	277
976	11286	265
977	11297	254
978	11309	242
979	11320	231
980	11331	219
981	11343	207
982	11356	196
983	11366	184
984	11379	173
985	11390	161
986	11400	150
987	11412	138
988	11424	127
989	11433	115
990	11442	103
991	11451	92
992	11460	80
993	11470	69
994	11479	57
995	11488	46
996	11497	34
997	11505	23
998	11513	11
999	11520	0
