iter	MultiClass
0	1.036246065
1	0.9775170507
2	0.9124345756
3	0.8574705684
4	0.8074113667
5	0.7667300583
6	0.7341733209
7	0.6921459243
8	0.6577382885
9	0.6177002429
10	0.5849165708
11	0.5521865395
12	0.5292364124
13	0.5001762326
14	0.4790874125
15	0.4545969652
16	0.4318411388
17	0.4157931595
18	0.3942446057
19	0.3749954977
20	0.3603179908
21	0.3428635728
22	0.3282394223
23	0.3147752165
24	0.3027086115
25	0.289407314
26	0.2780546038
27	0.2678806433
28	0.2576623753
29	0.2476026306
30	0.2398074409
31	0.2311189983
32	0.2249047241
33	0.2168883731
34	0.2113922968
35	0.2056731651
36	0.1997571923
37	0.193644775
38	0.1861476066
39	0.1796298704
40	0.1738281583
41	0.1689866639
42	0.1643076657
43	0.1577407194
44	0.1523966894
45	0.1487076552
46	0.1445614297
47	0.1396764738
48	0.1357138756
49	0.1316677249
50	0.1278599701
51	0.1247642808
52	0.1209378336
53	0.1172278215
54	0.1142630489
55	0.1109694929
56	0.1084328425
57	0.1059132239
58	0.1031417984
59	0.1004052606
60	0.09837648275
61	0.09591769969
62	0.09350028845
63	0.09145403571
64	0.08899269113
65	0.08677685627
66	0.08511297495
67	0.08293654065
68	0.08027937815
69	0.07881577419
70	0.07706385763
71	0.07535937993
72	0.07404885004
73	0.07237474847
74	0.07070442871
75	0.06931925833
76	0.06815762747
77	0.06674897029
78	0.06514404204
79	0.0637796738
80	0.06294138904
81	0.0617817345
82	0.06072208019
83	0.05958258915
84	0.05869651718
85	0.05785179362
86	0.05683640213
87	0.05591814404
88	0.05510133582
89	0.05414773165
90	0.05310273093
91	0.05232049161
92	0.0515023789
93	0.05078843664
94	0.04989835919
95	0.04912611038
96	0.04847654449
97	0.04779346188
98	0.04696960952
99	0.04619599576
100	0.04572260335
101	0.0452542179
102	0.04466352947
103	0.0441152938
104	0.0433503645
105	0.042755089
106	0.04222568384
107	0.04171909947
108	0.04123237866
109	0.04076136623
110	0.04030863927
111	0.03964489378
112	0.03925793993
113	0.03881693617
114	0.03839471873
115	0.03796952315
116	0.03748368991
117	0.0370224939
118	0.03656112482
119	0.03612612252
120	0.03574610759
121	0.03533027629
122	0.03496896492
123	0.03469540519
124	0.03427753652
125	0.03389860153
126	0.03354390558
127	0.03320034808
128	0.03290172089
129	0.03251649529
130	0.03228585853
131	0.03187644974
132	0.03160944992
133	0.03130305558
134	0.03100175455
135	0.03071494756
136	0.03038367182
137	0.03008492934
138	0.02981886083
139	0.0295579512
140	0.02926164217
141	0.02902518873
142	0.02875260611
143	0.02846413252
144	0.02817779118
145	0.02794989851
146	0.02771921402
147	0.0274555094
148	0.02717777782
149	0.02697475303
150	0.02669778402
151	0.02648334584
152	0.0263381782
153	0.02607389759
154	0.02589013343
155	0.02573938433
156	0.0255742963
157	0.02536625363
158	0.02517111727
159	0.02498016124
160	0.02477153253
161	0.02458389437
162	0.02443219168
163	0.02425311748
164	0.02411575829
165	0.02391101571
166	0.02373266557
167	0.02356117839
168	0.02342522119
169	0.02329997291
170	0.02311311453
171	0.022946952
172	0.0228153742
173	0.0226520264
174	0.02243516017
175	0.02227018729
176	0.02211857649
177	0.02193757754
178	0.02179095326
179	0.0216556392
180	0.02154573701
181	0.02143118588
182	0.02129720101
183	0.02117668452
184	0.02103391911
185	0.02088728065
186	0.02075033994
187	0.02061854919
188	0.02046467412
189	0.02036118029
190	0.02021315335
191	0.02007257224
